c PyNETGEN v1.0.0
c $ pip install pynetgen
c
c  NETGEN flow network generation algorithm
a 188 193 0 8 85
a 188 201 0 6 50
a 188 126 0 6 89
a 189 130 0 1116 84
a 189 43 0 2 71
a 190 298 0 1116 76
a 190 62 0 3 153
a 190 92 0 6 31
a 190 66 0 7 147
a 190 128 0 1 198
a 190 81 0 3 4
a 190 148 0 3 134
a 190 158 0 1 31
a 213 281 0 1116 74
a 213 269 0 2 9
a 213 250 0 1 88
a 213 199 0 4 22
a 213 176 0 2 171
a 213 180 0 6 187
a 213 275 0 9 163
a 214 261 0 1116 200
a 214 48 0 8 132
a 228 63 0 1116 200
a 228 94 0 6 87
a 228 221 0 7 48
a 229 296 0 1116 200
a 229 213 0 1116 200
a 229 25 0 7 139
a 231 190 0 1116 200
a 231 233 0 6 82
a 231 163 0 5 100
a 231 218 0 10 52
a 231 182 0 10 95
a 231 232 0 9 181
a 231 228 0 3 60
a 240 53 0 1116 55
a 240 56 0 1 73
a 240 223 0 9 118
a 240 187 0 1 72
a 240 71 0 4 170
a 240 148 0 8 79
a 240 232 0 2 83
a 240 267 0 8 106
a 247 113 0 1116 200
a 247 245 0 1 198
a 247 176 0 5 42
a 247 156 0 8 73
a 261 166 0 1116 68
a 261 243 0 5 115
a 261 240 0 7 177
a 261 219 0 10 120
a 261 74 0 2 38
a 261 70 0 4 17
a 261 79 0 7 47
a 281 231 0 1116 33
a 281 62 0 2 102
a 281 223 0 7 7
a 281 57 0 4 7
a 281 92 0 5 72
a 281 230 0 5 131
a 281 275 0 3 66
a 281 119 0 3 144
a 282 228 0 1116 197
a 282 155 0 9 30
a 282 81 0 7 145
a 282 252 0 1 124
a 282 292 0 8 37
a 2 10 0 99 117
a 2 261 0 2 56
a 2 44 0 6 114
a 2 65 0 1 13
a 2 224 0 7 108
a 2 117 0 7 156
a 2 254 0 9 112
a 10 127 0 99 99
a 10 176 0 3 109
a 10 46 0 4 176
a 10 253 0 3 116
a 10 234 0 10 93
a 10 115 0 5 27
a 10 293 0 5 28
a 10 178 0 2 157
a 10 141 0 10 69
a 10 166 0 4 43
a 20 97 0 99 200
a 20 61 0 1 119
a 20 289 0 8 73
a 20 167 0 3 68
a 20 234 0 6 124
a 20 53 0 2 93
a 20 104 0 7 88
a 29 95 0 99 200
a 29 267 0 10 29
a 29 201 0 6 99
a 29 259 0 1 120
a 29 196 0 9 138
a 29 269 0 2 19
a 31 206 0 99 183
a 31 226 0 1 15
a 32 120 0 99 200
a 32 251 0 8 39
a 32 175 0 10 55
a 32 148 0 10 149
a 32 45 0 6 174
a 32 63 0 4 164
a 41 171 0 99 200
a 41 167 0 5 94
a 41 210 0 7 190
a 45 271 0 99 200
a 45 258 0 7 138
a 45 293 0 7 132
a 45 193 0 7 144
a 45 172 0 2 174
a 45 150 0 9 147
a 45 236 0 2 46
a 45 277 0 8 64
a 61 217 0 99 20
a 61 261 0 4 167
a 61 139 0 10 7
a 61 220 0 6 102
a 61 167 0 6 167
a 61 121 0 7 87
a 61 68 0 7 135
a 61 209 0 8 63
a 61 215 0 8 138
a 61 195 0 1 164
a 61 50 0 3 37
a 61 130 0 3 19
a 66 41 0 99 66
a 66 155 0 4 81
a 70 100 0 99 200
a 70 24 0 4 129
a 70 134 0 3 149
a 70 291 0 9 141
a 70 235 0 3 176
a 70 67 0 6 125
a 70 236 0 9 83
a 73 29 0 99 76
a 73 135 0 3 35
a 73 48 0 3 76
a 73 228 0 9 102
a 73 181 0 10 145
a 73 288 0 10 90
a 73 131 0 7 129
a 73 259 0 1 83
a 73 37 0 5 151
a 73 70 0 9 31
a 73 81 0 2 150
a 73 169 0 6 187
a 95 298 0 99 101
a 95 191 0 10 31
a 95 88 0 5 167
a 95 212 0 9 37
a 95 225 0 7 121
a 95 69 0 3 70
a 95 224 0 1 10
a 95 160 0 7 2
a 95 153 0 2 119
a 95 278 0 5 63
a 95 132 0 9 139
a 97 73 0 99 200
a 97 294 0 3 12
a 97 128 0 7 39
a 100 193 0 99 200
a 100 218 0 6 94
a 100 239 0 7 149
a 100 60 0 7 98
a 100 242 0 7 172
a 100 265 0 6 97
a 100 84 0 8 55
a 100 299 0 9 174
a 100 144 0 5 25
a 117 272 0 99 194
a 117 256 0 7 187
a 120 238 0 99 85
a 120 281 0 10 196
a 127 159 0 99 170
a 127 12 0 9 61
a 127 49 0 7 95
a 127 168 0 3 45
a 127 163 0 4 65
a 127 21 0 3 86
a 127 94 0 6 85
a 127 119 0 9 115
a 127 151 0 9 108
a 127 22 0 9 90
a 127 148 0 4 20
a 144 66 0 99 200
a 144 50 0 1 138
a 159 221 0 99 200
a 159 217 0 10 200
a 159 263 0 8 63
a 159 214 0 1 50
a 159 247 0 5 15
a 159 91 0 10 38
a 159 16 0 5 27
a 171 20 0 99 114
a 171 286 0 6 5
a 171 226 0 3 155
a 171 252 0 7 101
a 171 38 0 8 135
a 171 138 0 8 16
a 171 65 0 6 117
a 171 279 0 8 92
a 171 24 0 4 176
a 171 10 0 1 83
a 193 232 0 99 200
a 193 144 0 9 71
a 193 18 0 4 173
a 193 229 0 9 118
a 193 125 0 2 39
a 193 21 0 7 92
a 193 57 0 2 70
a 193 173 0 1 129
a 193 159 0 10 76
a 193 298 0 3 26
a 195 45 0 99 200
a 195 103 0 3 76
a 195 198 0 3 111
a 195 246 0 9 164
a 195 223 0 9 193
a 195 204 0 8 85
a 195 192 0 1 29
a 195 279 0 10 173
a 195 87 0 8 139
a 195 134 0 4 153
a 195 233 0 4 65
a 195 54 0 7 55
a 206 233 0 99 136
a 206 231 0 3 135
a 206 87 0 6 92
a 206 20 0 7 89
a 206 201 0 3 98
a 206 200 0 9 158
a 206 50 0 10 21
a 206 175 0 6 80
a 217 144 0 99 123
a 217 290 0 4 188
a 217 94 0 9 125
a 217 30 0 4 108
a 217 12 0 6 194
a 217 293 0 2 126
a 217 128 0 4 178
a 217 268 0 8 101
a 218 268 0 99 200
a 218 221 0 10 119
a 218 149 0 2 110
a 218 119 0 10 117
a 218 70 0 6 15
a 218 223 0 9 37
a 218 267 0 8 151
a 218 259 0 5 3
a 218 241 0 3 183
a 218 180 0 2 88
a 218 28 0 9 158
a 221 294 0 99 200
a 221 218 0 99 200
a 221 230 0 8 78
a 221 169 0 1 95
a 221 47 0 6 64
a 221 233 0 4 173
a 221 36 0 3 168
a 223 70 0 99 174
a 223 207 0 6 149
a 223 193 0 1 118
a 223 106 0 7 11
a 223 264 0 8 14
a 223 116 0 4 179
a 223 98 0 9 19
a 223 246 0 1 188
a 223 162 0 3 75
a 223 27 0 6 27
a 223 191 0 8 141
a 223 212 0 8 158
a 232 195 0 99 189
a 232 92 0 7 33
a 232 157 0 4 87
a 232 64 0 1 4
a 232 245 0 10 93
a 232 81 0 4 194
a 232 208 0 6 72
a 233 284 0 99 156
a 233 217 0 8 176
a 233 262 0 8 65
a 233 48 0 8 62
a 233 271 0 5 146
a 233 275 0 5 125
a 233 228 0 10 50
a 233 72 0 10 165
a 233 122 0 1 55
a 238 223 0 99 40
a 238 252 0 6 170
a 238 77 0 10 25
a 238 76 0 2 152
a 266 32 0 99 200
a 266 186 0 7 104
a 266 121 0 7 199
a 266 251 0 2 8
a 266 149 0 10 192
a 266 191 0 3 82
a 266 236 0 6 67
a 266 59 0 8 24
a 266 294 0 3 150
a 266 87 0 10 36
a 266 163 0 4 178
a 266 225 0 3 114
a 268 31 0 99 200
a 268 30 0 5 160
a 268 269 0 3 174
a 268 260 0 1 110
a 268 247 0 6 65
a 271 61 0 99 79
a 271 140 0 9 45
a 271 104 0 8 96
a 271 98 0 8 188
a 271 277 0 9 107
a 271 246 0 3 165
a 271 296 0 1 177
a 271 56 0 9 46
a 272 266 0 99 19
a 272 159 0 10 181
a 272 14 0 6 79
a 272 204 0 3 73
a 272 121 0 9 76
a 284 117 0 99 139
a 284 218 0 8 20
a 284 222 0 3 44
a 284 201 0 2 77
a 284 266 0 4 194
a 284 192 0 1 112
a 284 72 0 5 126
a 3 186 0 381 16
a 3 230 0 5 138
a 16 241 0 381 116
a 16 124 0 8 154
a 21 131 0 381 5
a 21 13 0 2 42
a 21 151 0 4 97
a 21 138 0 10 78
a 24 137 0 381 100
a 24 167 0 7 133
a 48 132 0 381 200
a 48 218 0 3 18
a 52 259 0 381 108
a 52 141 0 6 109
a 52 32 0 10 172
a 52 246 0 10 111
a 52 65 0 8 164
a 52 36 0 6 69
a 52 16 0 1 43
a 52 188 0 8 172
a 52 97 0 1 25
a 54 254 0 381 33
a 54 199 0 9 188
a 54 238 0 2 100
a 54 39 0 9 35
a 54 236 0 9 179
a 54 147 0 10 64
a 77 91 0 381 162
a 77 183 0 2 166
a 77 239 0 6 169
a 77 241 0 10 181
a 77 150 0 2 17
a 77 28 0 2 96
a 77 121 0 2 143
a 77 57 0 1 166
a 87 300 0 381 189
a 87 211 0 381 99
a 87 53 0 4 89
a 87 176 0 7 83
a 87 155 0 5 196
a 87 124 0 10 164
a 87 195 0 8 46
a 87 143 0 1 72
a 91 93 0 381 186
a 91 286 0 6 87
a 91 100 0 9 179
a 91 240 0 9 15
a 91 145 0 7 71
a 91 180 0 10 164
a 91 47 0 8 14
a 91 29 0 5 108
a 91 243 0 3 113
a 91 18 0 6 67
a 91 184 0 2 65
a 91 205 0 9 158
a 93 54 0 381 151
a 93 46 0 10 195
a 93 193 0 10 152
a 93 174 0 8 129
a 93 77 0 1 5
a 93 230 0 1 165
a 93 185 0 5 16
a 93 37 0 5 151
a 93 123 0 2 177
a 94 48 0 381 200
a 94 96 0 9 45
a 94 21 0 2 89
a 94 29 0 4 46
a 94 201 0 9 118
a 94 80 0 9 194
a 94 267 0 4 31
a 94 157 0 3 125
a 94 293 0 10 142
a 108 24 0 381 200
a 108 164 0 4 145
a 108 26 0 5 147
a 108 92 0 8 63
a 108 152 0 4 190
a 108 141 0 9 29
a 110 230 0 381 64
a 110 194 0 1 136
a 110 235 0 3 123
a 110 156 0 3 120
a 110 105 0 8 150
a 110 27 0 4 139
a 110 71 0 5 170
a 110 178 0 10 190
a 110 170 0 5 15
a 110 148 0 7 12
a 118 286 0 381 117
a 118 19 0 5 160
a 118 142 0 4 168
a 118 78 0 9 149
a 118 265 0 7 86
a 118 21 0 1 132
a 118 259 0 4 121
a 118 185 0 10 111
a 118 96 0 1 51
a 118 191 0 3 61
a 122 192 0 381 200
a 122 128 0 4 188
a 122 279 0 7 70
a 122 293 0 8 23
a 122 268 0 10 30
a 122 44 0 7 147
a 123 208 0 381 200
a 123 108 0 6 125
a 123 198 0 8 76
a 123 288 0 10 200
a 123 175 0 7 193
a 123 267 0 6 78
a 123 233 0 7 147
a 123 274 0 8 116
a 123 259 0 7 151
a 123 280 0 5 141
a 123 106 0 6 119
a 123 21 0 5 18
a 124 242 0 381 200
a 124 225 0 10 93
a 124 227 0 1 27
a 131 122 0 381 200
a 131 269 0 1 154
a 131 87 0 6 187
a 131 112 0 8 63
a 131 263 0 1 8
a 131 71 0 8 119
a 131 298 0 7 129
a 131 217 0 3 33
a 131 152 0 7 186
a 131 231 0 9 129
a 132 191 0 381 149
a 132 180 0 3 7
a 132 57 0 3 188
a 132 157 0 8 16
a 132 217 0 3 193
a 132 94 0 7 55
a 132 71 0 8 13
a 132 147 0 9 93
a 137 164 0 381 199
a 137 116 0 4 186
a 137 62 0 9 36
a 137 142 0 8 26
a 137 92 0 2 196
a 137 99 0 6 148
a 137 290 0 5 26
a 138 94 0 381 200
a 138 198 0 9 97
a 138 296 0 4 164
a 138 245 0 10 154
a 138 141 0 3 44
a 138 187 0 3 58
a 164 110 0 381 45
a 164 241 0 10 13
a 164 117 0 9 83
a 164 161 0 3 11
a 164 250 0 4 123
a 164 128 0 2 37
a 164 144 0 5 200
a 164 131 0 7 174
a 164 109 0 8 142
a 164 21 0 9 43
a 182 257 0 381 133
a 182 111 0 1 66
a 182 93 0 6 88
a 182 135 0 1 137
a 182 28 0 6 198
a 182 43 0 2 157
a 182 299 0 4 178
a 182 273 0 3 20
a 182 110 0 3 2
a 182 92 0 8 149
a 182 181 0 3 172
a 182 225 0 10 45
a 186 265 0 381 200
a 186 268 0 8 164
a 186 67 0 4 183
a 186 210 0 5 37
a 186 200 0 10 46
a 186 65 0 7 51
a 186 274 0 2 152
a 186 123 0 7 180
a 186 286 0 9 200
a 186 134 0 4 80
a 186 33 0 8 122
a 191 52 0 381 200
a 191 31 0 3 48
a 191 60 0 7 148
a 191 59 0 10 9
a 191 83 0 4 179
a 191 228 0 5 59
a 192 123 0 381 200
a 192 248 0 8 155
a 192 264 0 4 174
a 192 223 0 6 132
a 192 97 0 10 16
a 208 87 0 381 6
a 208 173 0 9 14
a 208 291 0 7 65
a 208 148 0 1 163
a 208 90 0 4 20
a 208 197 0 9 80
a 208 213 0 5 31
a 211 77 0 381 200
a 211 187 0 2 110
a 211 255 0 5 196
a 211 71 0 10 129
a 211 35 0 6 118
a 211 156 0 8 90
a 211 74 0 9 16
a 211 25 0 1 89
a 211 117 0 3 87
a 230 293 0 381 200
a 230 75 0 10 27
a 241 21 0 381 85
a 241 99 0 2 142
a 241 12 0 5 150
a 241 126 0 2 117
a 241 76 0 4 173
a 241 145 0 2 192
a 241 168 0 7 71
a 241 258 0 4 65
a 241 266 0 10 97
a 241 274 0 7 67
a 242 16 0 381 146
a 242 46 0 3 150
a 254 291 0 381 171
a 254 296 0 8 95
a 254 97 0 5 46
a 257 288 0 381 4
a 257 136 0 1 12
a 257 105 0 4 110
a 257 111 0 10 117
a 259 124 0 381 116
a 259 56 0 4 128
a 259 75 0 1 46
a 259 262 0 5 47
a 259 152 0 9 80
a 259 286 0 1 132
a 259 271 0 1 51
a 259 299 0 6 51
a 259 250 0 5 72
a 259 148 0 3 41
a 265 118 0 381 116
a 265 59 0 2 151
a 265 272 0 9 22
a 265 243 0 6 175
a 265 163 0 9 42
a 265 260 0 8 171
a 286 182 0 381 200
a 286 239 0 9 62
a 286 67 0 7 189
a 286 184 0 2 160
a 286 174 0 9 180
a 286 168 0 2 139
a 288 138 0 381 200
a 288 145 0 5 98
a 288 283 0 6 26
a 291 108 0 381 200
a 291 228 0 3 74
a 291 136 0 3 13
a 4 84 0 339 200
a 4 262 0 9 49
a 4 173 0 5 95
a 4 234 0 10 190
a 4 61 0 10 151
a 4 160 0 2 169
a 4 264 0 7 188
a 4 267 0 5 52
a 30 86 0 339 189
a 30 151 0 2 36
a 30 294 0 3 140
a 30 110 0 6 158
a 30 32 0 9 64
a 30 21 0 5 132
a 30 18 0 1 48
a 30 166 0 1 69
a 30 13 0 5 38
a 30 285 0 10 154
a 30 185 0 3 72
a 30 63 0 5 19
a 33 49 0 339 200
a 33 80 0 3 71
a 35 57 0 339 5
a 35 212 0 10 162
a 35 32 0 7 127
a 35 13 0 10 94
a 35 277 0 8 144
a 35 36 0 8 107
a 35 141 0 10 3
a 35 64 0 10 36
a 35 294 0 8 160
a 43 209 0 339 124
a 43 296 0 4 93
a 43 122 0 4 158
a 43 266 0 6 13
a 43 97 0 8 53
a 43 273 0 5 66
a 43 67 0 4 187
a 43 39 0 2 150
a 43 9 0 3 108
a 43 113 0 1 50
a 43 290 0 2 191
a 47 35 0 339 200
a 47 129 0 10 33
a 47 165 0 1 16
a 47 270 0 4 19
a 47 250 0 9 131
a 47 150 0 3 175
a 47 61 0 8 30
a 47 278 0 7 156
a 47 214 0 7 75
a 47 34 0 5 111
a 49 258 0 339 200
a 49 284 0 9 41
a 49 174 0 2 15
a 49 90 0 10 146
a 49 97 0 5 106
a 55 256 0 339 185
a 55 182 0 7 40
a 55 65 0 9 106
a 55 231 0 7 159
a 55 190 0 1 95
a 55 113 0 6 151
a 57 58 0 339 189
a 57 105 0 1 99
a 57 256 0 3 98
a 57 270 0 4 145
a 57 278 0 10 20
a 57 39 0 7 90
a 57 95 0 5 177
a 57 73 0 8 25
a 57 150 0 9 62
a 57 114 0 5 185
a 57 24 0 8 168
a 57 101 0 3 113
a 58 207 0 339 200
a 58 30 0 3 14
a 58 194 0 9 11
a 58 130 0 6 196
a 58 82 0 2 98
a 58 267 0 5 148
a 60 98 0 339 19
a 60 136 0 9 107
a 60 9 0 1 96
a 60 188 0 9 137
a 60 120 0 9 134
a 60 150 0 10 60
a 60 209 0 8 173
a 60 221 0 6 136
a 81 202 0 339 200
a 81 259 0 2 87
a 81 67 0 8 78
a 81 15 0 6 112
a 81 196 0 9 8
a 82 60 0 339 70
a 82 28 0 3 157
a 82 186 0 4 27
a 83 133 0 339 200
a 83 63 0 3 16
a 83 226 0 10 144
a 83 49 0 1 28
a 83 219 0 2 152
a 83 61 0 4 17
a 83 166 0 10 102
a 83 132 0 2 188
a 83 190 0 3 179
a 83 76 0 6 71
a 83 160 0 1 193
a 84 55 0 339 200
a 84 22 0 2 131
a 84 195 0 4 128
a 84 129 0 6 126
a 84 177 0 1 79
a 84 228 0 6 27
a 84 219 0 8 172
a 84 208 0 7 167
a 84 251 0 3 152
a 84 120 0 6 164
a 84 77 0 3 137
a 86 226 0 339 200
a 86 215 0 2 129
a 86 38 0 1 151
a 86 197 0 6 73
a 86 284 0 7 116
a 86 13 0 4 84
a 86 195 0 9 176
a 86 66 0 5 184
a 96 33 0 339 200
a 96 136 0 7 116
a 96 170 0 3 60
a 96 79 0 2 101
a 96 294 0 9 176
a 96 179 0 5 106
a 96 13 0 4 91
a 96 182 0 1 160
a 96 113 0 6 153
a 96 287 0 2 168
a 98 43 0 339 200
a 98 138 0 7 147
a 98 233 0 6 49
a 98 131 0 10 199
a 98 294 0 1 144
a 98 285 0 4 55
a 98 12 0 6 59
a 98 144 0 2 25
a 98 274 0 2 86
a 98 222 0 2 161
a 98 150 0 2 127
a 98 38 0 5 140
a 106 30 0 339 117
a 106 278 0 2 149
a 106 67 0 6 64
a 106 42 0 7 67
a 106 193 0 5 181
a 106 139 0 7 105
a 106 293 0 5 160
a 106 282 0 10 63
a 106 172 0 7 89
a 106 200 0 3 125
a 106 272 0 2 69
a 106 253 0 5 166
a 114 244 0 339 200
a 114 238 0 6 191
a 114 188 0 10 153
a 114 65 0 6 140
a 114 225 0 8 74
a 114 75 0 9 126
a 114 152 0 4 36
a 133 114 0 339 158
a 133 226 0 9 196
a 133 25 0 4 46
a 133 160 0 3 28
a 133 29 0 2 129
a 133 47 0 1 104
a 133 120 0 7 44
a 133 272 0 9 36
a 133 210 0 7 17
a 133 103 0 3 87
a 145 81 0 339 25
a 145 128 0 5 25
a 145 272 0 6 158
a 145 203 0 7 65
a 145 217 0 1 70
a 180 270 0 339 30
a 180 188 0 6 129
a 180 254 0 7 44
a 180 165 0 5 200
a 180 72 0 7 153
a 183 82 0 339 133
a 183 219 0 1 45
a 183 180 0 4 55
a 183 155 0 5 149
a 183 281 0 2 145
a 183 131 0 5 11
a 183 257 0 4 57
a 183 294 0 1 142
a 202 227 0 339 200
a 202 184 0 2 149
a 202 277 0 2 18
a 202 251 0 7 177
a 202 260 0 4 113
a 205 47 0 339 60
a 205 36 0 1 61
a 205 84 0 10 130
a 205 111 0 1 103
a 205 125 0 6 153
a 205 107 0 10 183
a 205 185 0 10 180
a 205 290 0 5 154
a 205 24 0 5 199
a 205 66 0 7 78
a 205 223 0 10 89
a 205 167 0 8 149
a 207 183 0 339 68
a 207 38 0 10 53
a 207 12 0 3 176
a 207 278 0 4 164
a 207 65 0 8 70
a 207 28 0 5 87
a 207 233 0 10 32
a 207 136 0 4 117
a 207 205 0 6 149
a 209 145 0 339 200
a 209 109 0 6 162
a 209 265 0 7 161
a 209 143 0 3 28
a 209 269 0 3 24
a 209 185 0 9 183
a 209 261 0 2 66
a 209 65 0 5 51
a 209 277 0 3 66
a 209 153 0 10 88
a 209 115 0 2 166
a 215 246 0 339 200
a 215 298 0 339 200
a 215 89 0 8 196
a 215 294 0 6 17
a 215 259 0 3 117
a 215 23 0 3 190
a 215 95 0 4 168
a 215 229 0 8 92
a 215 183 0 7 108
a 226 273 0 339 200
a 226 155 0 7 135
a 226 187 0 6 136
a 226 34 0 10 192
a 226 190 0 6 60
a 226 147 0 2 163
a 227 283 0 339 200
a 227 276 0 2 114
a 227 41 0 9 193
a 244 96 0 339 113
a 244 200 0 3 121
a 244 9 0 9 15
a 246 83 0 339 200
a 246 180 0 5 26
a 246 99 0 8 176
a 246 108 0 5 123
a 246 220 0 7 16
a 246 62 0 10 167
a 246 64 0 7 52
a 246 140 0 6 123
a 246 116 0 1 139
a 246 58 0 10 26
a 256 205 0 339 200
a 256 224 0 8 92
a 256 74 0 6 35
a 256 228 0 6 197
a 256 138 0 1 30
a 256 288 0 3 55
a 258 180 0 339 114
a 258 266 0 9 61
a 258 245 0 4 120
a 258 109 0 4 177
a 258 235 0 10 195
a 258 156 0 6 53
a 258 274 0 9 4
a 258 187 0 2 78
a 270 106 0 339 142
a 270 238 0 4 2
a 270 119 0 2 160
a 270 249 0 7 75
a 273 294 0 339 87
a 273 101 0 7 190
a 273 31 0 5 148
a 273 53 0 9 153
a 273 16 0 5 131
a 273 75 0 4 115
a 273 125 0 4 98
a 273 288 0 4 155
a 283 215 0 339 139
a 283 245 0 6 107
a 283 122 0 8 37
a 283 237 0 2 200
a 283 291 0 3 11
a 283 154 0 3 88
a 283 49 0 9 162
a 283 53 0 1 150
a 5 264 0 560 53
a 5 265 0 1 129
a 5 168 0 3 119
a 5 272 0 4 44
a 12 143 0 560 200
a 12 9 0 1 147
a 12 179 0 10 158
a 12 25 0 8 144
a 12 109 0 8 189
a 13 252 0 560 97
a 13 12 0 9 16
a 13 217 0 4 36
a 13 215 0 1 17
a 13 292 0 7 45
a 13 163 0 3 161
a 13 201 0 4 28
a 13 28 0 2 158
a 13 250 0 6 111
a 13 274 0 9 65
a 13 111 0 3 119
a 14 194 0 560 200
a 14 133 0 6 24
a 14 279 0 8 129
a 14 13 0 5 154
a 14 249 0 1 160
a 14 178 0 3 114
a 14 126 0 4 167
a 14 190 0 3 107
a 50 245 0 560 178
a 50 176 0 7 69
a 50 45 0 2 65
a 50 223 0 3 85
a 50 134 0 8 59
a 50 39 0 3 31
a 50 232 0 6 175
a 50 30 0 6 117
a 51 105 0 560 200
a 51 187 0 9 114
a 51 171 0 8 47
a 51 99 0 1 168
a 51 111 0 9 189
a 51 114 0 4 93
a 51 277 0 5 77
a 51 243 0 9 68
a 51 169 0 2 194
a 51 152 0 3 43
a 62 262 0 560 120
a 62 10 0 4 177
a 62 95 0 2 78
a 62 107 0 6 183
a 62 205 0 3 195
a 62 96 0 2 86
a 62 148 0 9 44
a 64 13 0 560 200
a 64 142 0 9 193
a 64 228 0 10 114
a 64 216 0 1 183
